SNP_ID	DiseaseTrait
rs297804	No associated clinical information for this SNP
rs297802	No associated clinical information for this SNP
rs10914896	No associated clinical information for this SNP
rs1414470	No associated clinical information for this SNP
rs6704508	No associated clinical information for this SNP
rs4653018	No associated clinical information for this SNP
rs4652836	No associated clinical information for this SNP
rs17500033	No associated clinical information for this SNP
rs10914926	No associated clinical information for this SNP
rs12043899	No associated clinical information for this SNP
rs2140682	No associated clinical information for this SNP
rs1774256	No associated clinical information for this SNP
rs705202	No associated clinical information for this SNP
rs2294190	No associated clinical information for this SNP
rs2075933	No associated clinical information for this SNP
rs798066	No associated clinical information for this SNP
rs1418483	No associated clinical information for this SNP
rs947671	No associated clinical information for this SNP
rs10914983	No associated clinical information for this SNP
rs6679913	No associated clinical information for this SNP
rs6703587	No associated clinical information for this SNP
rs12090691	No associated clinical information for this SNP
rs716289	No associated clinical information for this SNP
rs6425904	No associated clinical information for this SNP
rs12132123	No associated clinical information for this SNP
rs912537	No associated clinical information for this SNP
rs12142734	No associated clinical information for this SNP
rs12136236	No associated clinical information for this SNP
rs10493063	No associated clinical information for this SNP
rs6656903	No associated clinical information for this SNP
rs12074386	No associated clinical information for this SNP
rs6703979	No associated clinical information for this SNP
rs4653109	No associated clinical information for this SNP
rs7525948	No associated clinical information for this SNP
rs10493064	No associated clinical information for this SNP
rs4652869	No associated clinical information for this SNP
rs6694435	No associated clinical information for this SNP
rs4072108	No associated clinical information for this SNP
rs10493067	No associated clinical information for this SNP
rs7542630	No associated clinical information for this SNP
rs593461	No associated clinical information for this SNP
rs522821	No associated clinical information for this SNP
rs3814303	No associated clinical information for this SNP
rs645886	No associated clinical information for this SNP
rs659215	No associated clinical information for this SNP
rs615315	No associated clinical information for this SNP
rs1188619	No associated clinical information for this SNP
rs7522666	No associated clinical information for this SNP
rs11264160	No associated clinical information for this SNP
rs1203136	No associated clinical information for this SNP
rs1203144	No associated clinical information for this SNP
rs7523017	No associated clinical information for this SNP
rs953035	No associated clinical information for this SNP
rs6660890	No associated clinical information for this SNP
rs7537203	Waist-to-hip ratio adjusted for BMI (additive genetic model)
rs10908410	No associated clinical information for this SNP
rs630364	No associated clinical information for this SNP
rs2231303	No associated clinical information for this SNP
rs272810	No associated clinical information for this SNP
rs530289	No associated clinical information for this SNP
rs35519085	No associated clinical information for this SNP
rs2242427	No associated clinical information for this SNP
rs6680494	No associated clinical information for this SNP
rs6696510	No associated clinical information for this SNP
rs11263898	No associated clinical information for this SNP
rs10493076	No associated clinical information for this SNP
rs3918003	No associated clinical information for this SNP
rs3918001	No associated clinical information for this SNP
rs3918015	No associated clinical information for this SNP
rs3917960	No associated clinical information for this SNP
rs3917950	No associated clinical information for this SNP
rs3917943	No associated clinical information for this SNP
rs3917924	No associated clinical information for this SNP
rs11263901	No associated clinical information for this SNP
rs4462101	No associated clinical information for this SNP
rs7526895	No associated clinical information for this SNP
rs3924538	No associated clinical information for this SNP
rs4026409	No associated clinical information for this SNP
rs6698957	No associated clinical information for this SNP
rs12564168	No associated clinical information for this SNP
rs4653208	No associated clinical information for this SNP
rs7533162	No associated clinical information for this SNP
rs743015	No associated clinical information for this SNP
rs6702202	No associated clinical information for this SNP
rs12719989	No associated clinical information for this SNP
rs7355025	No associated clinical information for this SNP
rs2135592	No associated clinical information for this SNP
rs528137	No associated clinical information for this SNP
rs547390	No associated clinical information for this SNP
rs904896	No associated clinical information for this SNP
rs6656317	Core binding factor acute myeloid leukemia
rs548661	No associated clinical information for this SNP
rs563293	No associated clinical information for this SNP
rs10489414	No associated clinical information for this SNP
rs12141503	No associated clinical information for this SNP
rs998176	No associated clinical information for this SNP
rs218388	No associated clinical information for this SNP
rs215820	Deliberate self-harm
rs10908325	No associated clinical information for this SNP
rs2047706	No associated clinical information for this SNP
rs301998	No associated clinical information for this SNP
rs7516603	No associated clinical information for this SNP
rs4140534	No associated clinical information for this SNP
rs10908348	No associated clinical information for this SNP
rs10493079	No associated clinical information for this SNP
rs2294873	No associated clinical information for this SNP
rs11264082	No associated clinical information for this SNP
rs3790623	Core binding factor acute myeloid leukemia
rs10908376	No associated clinical information for this SNP
rs483201	No associated clinical information for this SNP
rs484927	No associated clinical information for this SNP
rs9725913	No associated clinical information for this SNP
rs7528185	No associated clinical information for this SNP
rs10890285	No associated clinical information for this SNP
rs11206585	No associated clinical information for this SNP
rs6665139	No associated clinical information for this SNP
rs1325308	No associated clinical information for this SNP
rs883220	Rheumatoid arthritis
rs16824677	No associated clinical information for this SNP
rs7527762	No associated clinical information for this SNP
rs898978	No associated clinical information for this SNP
rs6659413	No associated clinical information for this SNP
rs12565767	Smoking initiation
rs1755296	No associated clinical information for this SNP
rs17477313	No associated clinical information for this SNP
rs12119813	No associated clinical information for this SNP
rs6679637	No associated clinical information for this SNP
rs2840559	No associated clinical information for this SNP
rs11807564	No associated clinical information for this SNP
rs17537940	No associated clinical information for this SNP
rs12061862	No associated clinical information for this SNP
rs7530233	No associated clinical information for this SNP
rs2252153	No associated clinical information for this SNP
rs2494441	No associated clinical information for this SNP
rs2247973	No associated clinical information for this SNP
rs1329817	No associated clinical information for this SNP
rs12062702	No associated clinical information for this SNP
rs11590421	Amyotrophic lateral sclerosis (sporadic)
rs2985755	No associated clinical information for this SNP
rs1925383	No associated clinical information for this SNP
rs2985774	No associated clinical information for this SNP
rs4970606	No associated clinical information for this SNP
rs7548027	No associated clinical information for this SNP
rs4970609	No associated clinical information for this SNP
rs4970610	No associated clinical information for this SNP
rs6690382	No associated clinical information for this SNP
rs594856	No associated clinical information for this SNP
rs11211081	No associated clinical information for this SNP
rs4079876	No associated clinical information for this SNP
rs6687438	No associated clinical information for this SNP
rs6687034	No associated clinical information for this SNP
rs12120375	No associated clinical information for this SNP
rs16825353	No associated clinical information for this SNP
rs11211100	No associated clinical information for this SNP
rs1930578	No associated clinical information for this SNP
rs597563	No associated clinical information for this SNP
rs4970625	No associated clinical information for this SNP
rs2147840	No associated clinical information for this SNP
rs12567070	No associated clinical information for this SNP
rs3828041	No associated clinical information for this SNP
rs16825658	No associated clinical information for this SNP
rs4147758	No associated clinical information for this SNP
rs4147749	No associated clinical information for this SNP
rs12118033	No associated clinical information for this SNP
rs4660165	No associated clinical information for this SNP
rs7550056	No associated clinical information for this SNP
rs11205665	Leukotriene B4 levels in elite athletes
rs626520	No associated clinical information for this SNP
rs3121892	No associated clinical information for this SNP
rs2039597	No associated clinical information for this SNP
rs7520599	No associated clinical information for this SNP
rs2296173	Type 2 diabetes
rs1185303	No associated clinical information for this SNP
rs9438925	No associated clinical information for this SNP
rs2242500	Waist circumference adjusted for body mass index
rs12061406	Body mass index
rs6600293	Educational attainment
rs12045644	No associated clinical information for this SNP
rs12030495	No associated clinical information for this SNP
rs6694831	No associated clinical information for this SNP
rs1180275	No associated clinical information for this SNP
rs4142010	No associated clinical information for this SNP
rs12565115	No associated clinical information for this SNP
rs479303	No associated clinical information for this SNP
rs704787	No associated clinical information for this SNP
rs572747	No associated clinical information for this SNP
rs7531010	No associated clinical information for this SNP
rs12745951	No associated clinical information for this SNP
rs742546	No associated clinical information for this SNP
rs6701512	No associated clinical information for this SNP
rs10489534	No associated clinical information for this SNP
rs11811998	No associated clinical information for this SNP
rs3131689	No associated clinical information for this SNP
rs3134615	No associated clinical information for this SNP
rs3117088	Height
rs12408124	No associated clinical information for this SNP
rs4381172	Mean platelet volume
rs7529794	2-linoleoylglycerophosphocholine levels (Biocrates platform)
rs4313386	No associated clinical information for this SNP
rs6681804	No associated clinical information for this SNP
rs12118846	Total PHF-tau (SNP x SNP interaction)
rs7533203	No associated clinical information for this SNP
rs10493089	No associated clinical information for this SNP
rs6700346	No associated clinical information for this SNP
rs10489431	No associated clinical information for this SNP
rs17462950	No associated clinical information for this SNP
rs10889285	No associated clinical information for this SNP
rs6656226	No associated clinical information for this SNP
rs209598	No associated clinical information for this SNP
rs12725229	No associated clinical information for this SNP
rs2272994	No associated clinical information for this SNP
rs2036198	No associated clinical information for this SNP
rs4261108	No associated clinical information for this SNP
rs11208299	No associated clinical information for this SNP
rs2297755	No associated clinical information for this SNP
rs7537003	No associated clinical information for this SNP
rs16865687	No associated clinical information for this SNP
rs6694677	No associated clinical information for this SNP
rs12059305	Total PHF-tau (SNP x SNP interaction)
rs12044426	No associated clinical information for this SNP
rs10158384	No associated clinical information for this SNP
rs2361651	No associated clinical information for this SNP
rs727145	No associated clinical information for this SNP
rs4660481	No associated clinical information for this SNP
rs12026763	No associated clinical information for this SNP
rs7528422	No associated clinical information for this SNP
rs4453027	Testosterone levels
rs213757	No associated clinical information for this SNP
rs10493093	No associated clinical information for this SNP
rs11209792	No associated clinical information for this SNP
rs11209799	Height
rs12032756	No associated clinical information for this SNP
rs2364535	No associated clinical information for this SNP
rs4660187	No associated clinical information for this SNP
rs4660519	No associated clinical information for this SNP
rs6600372	No associated clinical information for this SNP
rs4262533	No associated clinical information for this SNP
rs12069358	No associated clinical information for this SNP
rs745879	No associated clinical information for this SNP
rs3754287	Squamous cell lung carcinoma
rs4660541	No associated clinical information for this SNP
rs2181276	No associated clinical information for this SNP
rs12164654	No associated clinical information for this SNP
rs12045563	No associated clinical information for this SNP
rs12075175	No associated clinical information for this SNP
rs2668939	No associated clinical information for this SNP
rs1371805	No associated clinical information for this SNP
rs2492604	No associated clinical information for this SNP
rs11210527	No associated clinical information for this SNP
rs10493098	No associated clinical information for this SNP
rs10493097	No associated clinical information for this SNP
rs611628	No associated clinical information for this SNP
rs582123	No associated clinical information for this SNP
rs2919434	No associated clinical information for this SNP
rs1325502	No associated clinical information for this SNP
rs2786486	No associated clinical information for this SNP
rs16828869	No associated clinical information for this SNP
rs12086766	No associated clinical information for this SNP
rs4660596	No associated clinical information for this SNP
rs16837476	No associated clinical information for this SNP
rs12134687	No associated clinical information for this SNP
rs12138504	No associated clinical information for this SNP
rs7516178	No associated clinical information for this SNP
rs3818727	No associated clinical information for this SNP
rs12402117	No associated clinical information for this SNP
rs2494366	No associated clinical information for this SNP
rs11210628	No associated clinical information for this SNP
rs12119170	No associated clinical information for this SNP
rs4660630	No associated clinical information for this SNP
rs12025180	No associated clinical information for this SNP
rs12040258	No associated clinical information for this SNP
rs12121067	No associated clinical information for this SNP
rs12046563	No associated clinical information for this SNP
rs3862218	No associated clinical information for this SNP
rs10493113	No associated clinical information for this SNP
rs7543061	No associated clinical information for this SNP
rs6700677	No associated clinical information for this SNP
rs11210721	No associated clinical information for this SNP
rs16830020	No associated clinical information for this SNP
rs9960	No associated clinical information for this SNP
rs12022524	No associated clinical information for this SNP
rs12141538	No associated clinical information for this SNP
rs12130264	No associated clinical information for this SNP
rs3768045	No associated clinical information for this SNP
rs3738516	Calcium levels
rs1754154	No associated clinical information for this SNP
rs35046440	No associated clinical information for this SNP
rs515781	No associated clinical information for this SNP
rs841379	No associated clinical information for this SNP
rs1325234	No associated clinical information for this SNP
rs589239	No associated clinical information for this SNP
rs16830359	Cardiac hypertrophy
rs585655	No associated clinical information for this SNP
rs535099	No associated clinical information for this SNP
rs597778	No associated clinical information for this SNP
rs589819	No associated clinical information for this SNP
rs7163	No associated clinical information for this SNP
rs12402475	No associated clinical information for this SNP
rs621559	Telomere length
rs1861	No associated clinical information for this SNP
rs2484714	No associated clinical information for this SNP
rs10890246	No associated clinical information for this SNP
rs2991996	Kidney injury molecule 1 levels
rs12405532	No associated clinical information for this SNP
rs2842195	No associated clinical information for this SNP
rs2819332	Amyotrophic lateral sclerosis (age of onset)
rs3001723	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)
rs11210883	No associated clinical information for this SNP
rs11210896	No associated clinical information for this SNP
rs10789439	No associated clinical information for this SNP
rs7528454	No associated clinical information for this SNP
rs11210924	No associated clinical information for this SNP
rs3791064	No associated clinical information for this SNP
rs972444	No associated clinical information for this SNP
rs12131981	No associated clinical information for this SNP
rs3791118	No associated clinical information for this SNP
rs16831558	No associated clinical information for this SNP
rs11585230	No associated clinical information for this SNP
rs2025615	No associated clinical information for this SNP
rs7522642	No associated clinical information for this SNP
rs602802	No associated clinical information for this SNP
rs2487699	No associated clinical information for this SNP
rs12058835	No associated clinical information for this SNP
rs10489168	No associated clinical information for this SNP
rs6699067	No associated clinical information for this SNP
rs12058010	No associated clinical information for this SNP
rs226066	No associated clinical information for this SNP
rs11210996	No associated clinical information for this SNP
rs4660806	No associated clinical information for this SNP
rs12036856	No associated clinical information for this SNP
rs12138940	No associated clinical information for this SNP
rs12145658	No associated clinical information for this SNP
rs272531	No associated clinical information for this SNP
rs7554123	No associated clinical information for this SNP
rs755597	No associated clinical information for this SNP
rs272527	No associated clinical information for this SNP
rs11582764	No associated clinical information for this SNP
rs7549579	No associated clinical information for this SNP
rs12746270	No associated clinical information for this SNP
rs12407627	No associated clinical information for this SNP
rs12057238	No associated clinical information for this SNP
rs11573562	No associated clinical information for this SNP
rs12093313	No associated clinical information for this SNP
rs263966	No associated clinical information for this SNP
rs12407565	No associated clinical information for this SNP
rs435311	No associated clinical information for this SNP
rs11211059	No associated clinical information for this SNP
rs364482	No associated clinical information for this SNP
rs346703	No associated clinical information for this SNP
rs454624	No associated clinical information for this SNP
rs346725	No associated clinical information for this SNP
rs2997460	No associated clinical information for this SNP
rs11810829	No associated clinical information for this SNP
rs11211091	No associated clinical information for this SNP
rs2153608	No associated clinical information for this SNP
rs10493120	1-palmitoyl-2-oleoyl-GPI (16:0/18:1) levels in elite athletes
rs4660858	No associated clinical information for this SNP
rs2993263	Reticulocyte fraction of red cells
rs11211152	No associated clinical information for this SNP
rs10430105	No associated clinical information for this SNP
rs28719889	No associated clinical information for this SNP
rs4660883	No associated clinical information for this SNP
rs4298677	No associated clinical information for this SNP
rs12732188	No associated clinical information for this SNP
rs4076006	No associated clinical information for this SNP
rs4073846	No associated clinical information for this SNP
rs2236560	No associated clinical information for this SNP
rs7512966	No associated clinical information for this SNP
rs17102087	No associated clinical information for this SNP
rs3753362	No associated clinical information for this SNP
rs10489770	No associated clinical information for this SNP
rs9865	No associated clinical information for this SNP
rs661902	No associated clinical information for this SNP
rs6660663	No associated clinical information for this SNP
rs9659890	No associated clinical information for this SNP
rs7556481	No associated clinical information for this SNP
rs11211328	No associated clinical information for this SNP
rs1025806	No associated clinical information for this SNP
rs720413	No associated clinical information for this SNP
rs6662321	No associated clinical information for this SNP
rs4646476	No associated clinical information for this SNP
rs2297813	No associated clinical information for this SNP
rs4646477	No associated clinical information for this SNP
rs1572603	No associated clinical information for this SNP
rs1890251	No associated clinical information for this SNP
rs2065996	Glycine conjugate of C10H12O2 levels
rs4646484	No associated clinical information for this SNP
rs4646485	10-undecenoate (11:1n1) levels
rs2297810	No associated clinical information for this SNP
rs3766198	No associated clinical information for this SNP
rs2297809	No associated clinical information for this SNP
rs17102599	No associated clinical information for this SNP
rs4646496	No associated clinical information for this SNP
rs7535312	No associated clinical information for this SNP
rs17102644	No associated clinical information for this SNP
rs9333036	No associated clinical information for this SNP
rs9333058	No associated clinical information for this SNP
rs1502908	No associated clinical information for this SNP
rs12034515	No associated clinical information for this SNP
rs7543627	No associated clinical information for this SNP
rs11211500	No associated clinical information for this SNP
rs17103186	Corneal curvature
rs2622927	No associated clinical information for this SNP
rs7528075	No associated clinical information for this SNP
rs6697911	No associated clinical information for this SNP
rs527430	Response to anti-depressant treatment in major depressive disorder
rs497606	No associated clinical information for this SNP
rs2098	No associated clinical information for this SNP
rs12134032	No associated clinical information for this SNP
rs822886	No associated clinical information for this SNP
rs10158159	No associated clinical information for this SNP
rs11584269	No associated clinical information for this SNP
rs623229	No associated clinical information for this SNP
rs11576372	No associated clinical information for this SNP
rs4554761	No associated clinical information for this SNP
rs4926916	No associated clinical information for this SNP
rs12408157	No associated clinical information for this SNP
rs12402179	No associated clinical information for this SNP
rs12029435	No associated clinical information for this SNP
rs1249089	No associated clinical information for this SNP
rs12038526	No associated clinical information for this SNP
rs1992298	No associated clinical information for this SNP
rs7544082	Type 2 diabetes nephropathy
rs17103715	No associated clinical information for this SNP
rs12085966	No associated clinical information for this SNP
rs6588505	Obesity-related traits
rs10890501	No associated clinical information for this SNP
rs4927125	No associated clinical information for this SNP
rs11211611	No associated clinical information for this SNP
rs12033328	No associated clinical information for this SNP
rs11576406	No associated clinical information for this SNP
rs12033901	No associated clinical information for this SNP
rs6657569	No associated clinical information for this SNP
rs1497095	No associated clinical information for this SNP
rs10493131	No associated clinical information for this SNP
rs7545671	No associated clinical information for this SNP
rs11577547	No associated clinical information for this SNP
rs12080061	No associated clinical information for this SNP
rs11584659	No associated clinical information for this SNP
rs17103991	No associated clinical information for this SNP
rs2270973	No associated clinical information for this SNP
rs728864	Heel bone mineral density
rs560004	No associated clinical information for this SNP
rs527787	No associated clinical information for this SNP
rs12047002	Core binding factor acute myeloid leukemia
rs214203	No associated clinical information for this SNP
rs11205442	No associated clinical information for this SNP
rs12137265	No associated clinical information for this SNP
rs10489600	No associated clinical information for this SNP
rs12126047	No associated clinical information for this SNP
rs12142917	No associated clinical information for this SNP
rs11205475	No associated clinical information for this SNP
rs12085824	No associated clinical information for this SNP
rs1877720	Early spontaneous preterm birth
rs1338314	No associated clinical information for this SNP
rs1890323	No associated clinical information for this SNP
rs2798107	No associated clinical information for this SNP
rs2798105	No associated clinical information for this SNP
rs12032082	No associated clinical information for this SNP
rs12566454	No associated clinical information for this SNP
rs17104515	No associated clinical information for this SNP
rs1539529	No associated clinical information for this SNP
rs2803273	No associated clinical information for this SNP
rs7539694	No associated clinical information for this SNP
rs320019	No associated clinical information for this SNP
rs320027	Total amyloid (SNP x SNP interaction)
rs11586980	No associated clinical information for this SNP
rs10788895	No associated clinical information for this SNP
rs1578844	No associated clinical information for this SNP
rs12097401	No associated clinical information for this SNP
rs10888636	No associated clinical information for this SNP
rs3127549	No associated clinical information for this SNP
rs17369068	No associated clinical information for this SNP
rs6665118	No associated clinical information for this SNP
rs655065	No associated clinical information for this SNP
rs10493143	No associated clinical information for this SNP
rs6673047	No associated clinical information for this SNP
rs9783112	No associated clinical information for this SNP
rs17098808	No associated clinical information for this SNP
rs10489427	No associated clinical information for this SNP
rs11587574	No associated clinical information for this SNP
rs10489864	No associated clinical information for this SNP
rs11576945	No associated clinical information for this SNP
rs6673246	No associated clinical information for this SNP
rs9436444	Cannabis use disorder (MTAG)
rs2494884	No associated clinical information for this SNP
rs6588376	Smoking initiation (MTAG)
rs3001644	No associated clinical information for this SNP
rs12030672	Alcohol consumption (drinks per month) (UKB data field 1578, 4424)
rs12123613	No associated clinical information for this SNP
rs1875645	No associated clinical information for this SNP
rs6689749	No associated clinical information for this SNP
rs4491095	No associated clinical information for this SNP
rs3827730	Depression and alcohol dependence
rs3789576	No associated clinical information for this SNP
rs10888690	Male-pattern baldness
rs11581155	No associated clinical information for this SNP
rs1846522	No associated clinical information for this SNP
rs11587909	No associated clinical information for this SNP
rs9803853	No associated clinical information for this SNP
rs17383851	No associated clinical information for this SNP
rs12567589	No associated clinical information for this SNP
rs3789587	No associated clinical information for this SNP
rs1464081	No associated clinical information for this SNP
rs12089041	No associated clinical information for this SNP
rs2487824	Whole brain restricted isotropic diffusion (multivariate analysis)
rs17389502	No associated clinical information for this SNP
rs11205801	No associated clinical information for this SNP
rs11205807	No associated clinical information for this SNP
rs616055	No associated clinical information for this SNP
rs34974872	No associated clinical information for this SNP
rs474668	No associated clinical information for this SNP
rs12134299	No associated clinical information for this SNP
rs11205836	No associated clinical information for this SNP
rs6673480	IgE grass sensitization
rs1149789	No associated clinical information for this SNP
rs17106627	No associated clinical information for this SNP
rs7411629	No associated clinical information for this SNP
rs7534689	No associated clinical information for this SNP
rs11205877	No associated clinical information for this SNP
rs11810827	No associated clinical information for this SNP
rs856613	No associated clinical information for this SNP
rs12748434	No associated clinical information for this SNP
rs1167169	No associated clinical information for this SNP
rs7416150	No associated clinical information for this SNP
rs7512076	No associated clinical information for this SNP
rs3015298	No associated clinical information for this SNP
rs7513934	No associated clinical information for this SNP
rs1983833	No associated clinical information for this SNP
rs10493166	No associated clinical information for this SNP
rs835334	No associated clinical information for this SNP
rs12138419	No associated clinical information for this SNP
rs835337	No associated clinical information for this SNP
rs6688451	Height
rs6692566	No associated clinical information for this SNP
rs706497	No associated clinical information for this SNP
rs681865	No associated clinical information for this SNP
rs269316	No associated clinical information for this SNP
rs374849	No associated clinical information for this SNP
rs11205998	No associated clinical information for this SNP
rs4926930	No associated clinical information for this SNP
rs6664794	No associated clinical information for this SNP
rs2298146	No associated clinical information for this SNP
rs6681542	No associated clinical information for this SNP
rs6588449	No associated clinical information for this SNP
rs10437066	No associated clinical information for this SNP
rs17107661	No associated clinical information for this SNP
rs6588459	Height
rs10493172	No associated clinical information for this SNP
rs12059934	No associated clinical information for this SNP
rs3766781	No associated clinical information for this SNP
rs7541073	No associated clinical information for this SNP
rs1320594	No associated clinical information for this SNP
rs1679933	No associated clinical information for this SNP
rs6682324	No associated clinical information for this SNP
rs17108140	No associated clinical information for this SNP
rs3736118	No associated clinical information for this SNP
rs12082305	No associated clinical information for this SNP
rs17785382	Number of sexual partners
rs5174	Personality traits or cognitive traits (multivariate analysis)
rs3737983	Whole brain restricted isotropic diffusion (multivariate analysis)
rs2297663	Low-density lipoprotein receptor-related protein 8 levels
rs12354192	No associated clinical information for this SNP
rs12141158	No associated clinical information for this SNP
rs4926986	No associated clinical information for this SNP
rs1316436	No associated clinical information for this SNP
rs12039843	No associated clinical information for this SNP
rs1342969	No associated clinical information for this SNP
rs17108475	No associated clinical information for this SNP
rs6681936	No associated clinical information for this SNP
rs6685296	No associated clinical information for this SNP
rs1776421	PR interval in Tripanosoma cruzi seropositivity
rs9436924	No associated clinical information for this SNP
rs1288617	No associated clinical information for this SNP
rs1298637	Nicotine use
rs11206169	No associated clinical information for this SNP
rs12035088	Height
rs2873096	No associated clinical information for this SNP
rs4927025	No associated clinical information for this SNP
rs7524579	No associated clinical information for this SNP
rs797913	No associated clinical information for this SNP
rs4927033	No associated clinical information for this SNP
rs2273139	No associated clinical information for this SNP
rs1181145	No associated clinical information for this SNP
rs10489461	No associated clinical information for this SNP
rs4354491	No associated clinical information for this SNP
rs11206226	Nonalcoholic fatty liver disease
rs12131461	No associated clinical information for this SNP
rs11206244	No associated clinical information for this SNP
rs7526168	No associated clinical information for this SNP
rs3766466	No associated clinical information for this SNP
rs7556423	No associated clinical information for this SNP
rs17391213	No associated clinical information for this SNP
rs12095916	No associated clinical information for this SNP
rs6683426	No associated clinical information for this SNP
rs913811	No associated clinical information for this SNP
rs11800926	No associated clinical information for this SNP
rs4927072	No associated clinical information for this SNP
rs10888843	No associated clinical information for this SNP
rs1416558	No associated clinical information for this SNP
rs6678619	No associated clinical information for this SNP
rs7523947	No associated clinical information for this SNP
rs4927088	No associated clinical information for this SNP
rs17110383	No associated clinical information for this SNP
rs12564882	No associated clinical information for this SNP
rs17110430	No associated clinical information for this SNP
rs12404565	No associated clinical information for this SNP
rs1543369	No associated clinical information for this SNP
rs6697657	No associated clinical information for this SNP
rs11803116	No associated clinical information for this SNP
rs7515747	No associated clinical information for this SNP
rs405731	No associated clinical information for this SNP
rs11806439	No associated clinical information for this SNP
rs1755588	No associated clinical information for this SNP
rs10888858	No associated clinical information for this SNP
rs10888859	No associated clinical information for this SNP
rs6659406	No associated clinical information for this SNP
rs6588528	No associated clinical information for this SNP
rs6671173	Core binding factor acute myeloid leukemia
rs644955	No associated clinical information for this SNP
rs1981583	No associated clinical information for this SNP
rs3766415	No associated clinical information for this SNP
rs1911230	No associated clinical information for this SNP
rs7542637	No associated clinical information for this SNP
rs2240396	No associated clinical information for this SNP
rs689322	No associated clinical information for this SNP
rs141014	No associated clinical information for this SNP
rs683737	No associated clinical information for this SNP
rs2274941	No associated clinical information for this SNP
rs12037220	No associated clinical information for this SNP
rs1469344	No associated clinical information for this SNP
rs6588543	No associated clinical information for this SNP
rs2495510	No associated clinical information for this SNP
rs17111652	Cholesterol to total lipids ratio in large VLDL
rs4926670	No associated clinical information for this SNP
rs6684298	No associated clinical information for this SNP
rs17111770	No associated clinical information for this SNP
rs10493201	No associated clinical information for this SNP
rs6694538	No associated clinical information for this SNP
rs880386	No associated clinical information for this SNP
rs3946077	No associated clinical information for this SNP
rs12065953	No associated clinical information for this SNP
rs12022663	No associated clinical information for this SNP
rs12566719	No associated clinical information for this SNP
rs10888923	No associated clinical information for this SNP
rs7532502	No associated clinical information for this SNP
rs17112145	No associated clinical information for this SNP
rs2800838	No associated clinical information for this SNP
rs411611	No associated clinical information for this SNP
rs2649629	No associated clinical information for this SNP
rs1740125	No associated clinical information for this SNP
rs11206611	No associated clinical information for this SNP
rs17112231	No associated clinical information for this SNP
rs1695960	Vaginal microbiome MetaCyc pathway (FASYN-INITIAL-PWY|superpathway of fatty acid biosynthesis initiation (E. coli))
rs1392127	No associated clinical information for this SNP
rs11807964	No associated clinical information for this SNP
rs1499665	No associated clinical information for this SNP
rs1392130	No associated clinical information for this SNP
rs1499667	No associated clinical information for this SNP
rs12071564	No associated clinical information for this SNP
rs17418048	Tinnitus
rs12046600	No associated clinical information for this SNP
rs10443236	No associated clinical information for this SNP
rs4367813	No associated clinical information for this SNP
rs9326037	No associated clinical information for this SNP
rs12139482	No associated clinical information for this SNP
rs3862238	No associated clinical information for this SNP
rs749330	No associated clinical information for this SNP
rs12566055	No associated clinical information for this SNP
rs4367814	No associated clinical information for this SNP
rs6588574	No associated clinical information for this SNP
rs10493190	No associated clinical information for this SNP
rs4313435	No associated clinical information for this SNP
rs12070494	No associated clinical information for this SNP
rs12144400	No associated clinical information for this SNP
rs6694316	No associated clinical information for this SNP
rs2404389	No associated clinical information for this SNP
rs10489777	No associated clinical information for this SNP
rs11206745	No associated clinical information for this SNP
rs4927305	No associated clinical information for this SNP
rs1757915	Monocyte count
rs6588610	No associated clinical information for this SNP
rs778129	No associated clinical information for this SNP
rs778400	No associated clinical information for this SNP
rs12118755	No associated clinical information for this SNP
rs2994802	No associated clinical information for this SNP
rs12070360	Rate of cognitive decline in Alzheimer's disease
rs12143461	No associated clinical information for this SNP
rs3005888	No associated clinical information for this SNP
rs2994555	Height
rs3005893	No associated clinical information for this SNP
rs3005905	No associated clinical information for this SNP
rs12138574	Adolescent idiopathic scoliosis
rs12043349	No associated clinical information for this SNP
rs2994565	No associated clinical information for this SNP
rs10493208	No associated clinical information for this SNP
rs7538333	No associated clinical information for this SNP
rs11206801	Cerebrospinal fluid AB1-42 levels
rs1931073	No associated clinical information for this SNP
rs17469007	No associated clinical information for this SNP
rs4363444	No associated clinical information for this SNP
rs12137498	No associated clinical information for this SNP
rs4912314	Waist-to-hip ratio adjusted for body mass index
rs7528118	No associated clinical information for this SNP
rs2404716	No associated clinical information for this SNP
rs869934	No associated clinical information for this SNP
rs7535757	No associated clinical information for this SNP
rs1572057	Height
rs1041602	No associated clinical information for this SNP
rs1930759	No associated clinical information for this SNP
rs12070247	No associated clinical information for this SNP
rs17114127	No associated clinical information for this SNP
rs12136817	No associated clinical information for this SNP
rs17408450	No associated clinical information for this SNP
rs6686996	No associated clinical information for this SNP
rs10489618	No associated clinical information for this SNP
rs857123	No associated clinical information for this SNP
rs12410615	Exploratory eye movement dysfunction in schizophrenia (number of eye fixations)
rs1557145	No associated clinical information for this SNP
rs6672416	No associated clinical information for this SNP
rs706469	WNT1-inducible-signaling pathway protein 1 levels
rs652785	No associated clinical information for this SNP
rs2269115	No associated clinical information for this SNP
rs2300955	No associated clinical information for this SNP
rs679350	No associated clinical information for this SNP
rs626457	Semenogelin-1 levels
rs658285	No associated clinical information for this SNP
rs1928447	No associated clinical information for this SNP
