SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs405731	1	54567909	ACOT11	No associated clinical information for this SNP
rs11806439	1	54573060	ACOT11	No associated clinical information for this SNP
rs1755588	1	54579267	ACOT11	No associated clinical information for this SNP
rs10888858	1	54643305	MROH7;MROH7-TTC4	No associated clinical information for this SNP
rs10888859	1	54651847	MROH7;MROH7-TTC4	No associated clinical information for this SNP
rs6659406	1	54683909	MROH7;MROH7-TTC4	No associated clinical information for this SNP
rs6588528	1	54691208	MROH7;MROH7-TTC4	No associated clinical information for this SNP
rs6671173	1	54696171	MROH7;MROH7-TTC4	Core binding factor acute myeloid leukemia
rs644955	1	54702411	MROH7;MROH7-TTC4	No associated clinical information for this SNP
rs1981583	1	54705766	MROH7;MROH7-TTC4	No associated clinical information for this SNP
rs3766415	1	54717459	TTC4;MROH7-TTC4	No associated clinical information for this SNP
rs1911230	1	54719531	TTC4;MROH7-TTC4	No associated clinical information for this SNP
rs7542637	1	54739526	TTC4;MROH7-TTC4	No associated clinical information for this SNP
rs2240396	1	54757517	PARS2	No associated clinical information for this SNP
rs689322	1	54801836	No gene information found	No associated clinical information for this SNP
rs141014	1	54833466	CIMAP2	No associated clinical information for this SNP
rs683737	1	54848469	No gene information found	No associated clinical information for this SNP
rs2274941	1	54887697	DHCR24-DT	No associated clinical information for this SNP
rs12037220	1	54903972	No gene information found	No associated clinical information for this SNP
rs1469344	1	54920494	No gene information found	No associated clinical information for this SNP
rs6588543	1	55010293	BSND	No associated clinical information for this SNP
rs2495510	1	55011654	BSND	No associated clinical information for this SNP
rs17111652	1	55124792	USP24	Cholesterol to total lipids ratio in large VLDL
rs4926670	1	55197007	USP24	No associated clinical information for this SNP
rs6684298	1	55251441	MIR4422HG	No associated clinical information for this SNP
rs17111770	1	55258375	MIR4422HG	No associated clinical information for this SNP
rs10493201	1	55298819	MIR4422HG	No associated clinical information for this SNP
rs6694538	1	55340390	No gene information found	No associated clinical information for this SNP
rs880386	1	55354591	No gene information found	No associated clinical information for this SNP
rs3946077	1	55372899	MTCO2P34	No associated clinical information for this SNP
rs12065953	1	55427766	No gene information found	No associated clinical information for this SNP
rs12022663	1	55438630	No gene information found	No associated clinical information for this SNP
rs12566719	1	55451096	No gene information found	No associated clinical information for this SNP
rs10888923	1	55464789	No gene information found	No associated clinical information for this SNP
rs7532502	1	55473214	No gene information found	No associated clinical information for this SNP
rs17112145	1	55478864	No gene information found	No associated clinical information for this SNP
rs2800838	1	55484850	No gene information found	No associated clinical information for this SNP
rs411611	1	55487162	No gene information found	No associated clinical information for this SNP
rs2649629	1	55487617	No gene information found	No associated clinical information for this SNP
rs1740125	1	55499526	No gene information found	No associated clinical information for this SNP
rs11206611	1	55501471	No gene information found	No associated clinical information for this SNP
rs17112231	1	55506125	No gene information found	No associated clinical information for this SNP
rs1695960	1	55517852	No gene information found	Vaginal microbiome MetaCyc pathway (FASYN-INITIAL-PWY|superpathway of fatty acid biosynthesis initiation (E. coli))
rs1392127	1	55550242	No gene information found	No associated clinical information for this SNP
rs11807964	1	55602721	No gene information found	No associated clinical information for this SNP
rs1499665	1	55603843	No gene information found	No associated clinical information for this SNP
rs1392130	1	55606881	No gene information found	No associated clinical information for this SNP
rs1499667	1	55612140	No gene information found	No associated clinical information for this SNP
rs12071564	1	55612680	No gene information found	No associated clinical information for this SNP
rs17418048	1	55635324	No gene information found	Tinnitus
rs12046600	1	55638909	No gene information found	No associated clinical information for this SNP
rs10443236	1	55644575	No gene information found	No associated clinical information for this SNP
rs4367813	1	55673062	No gene information found	No associated clinical information for this SNP
rs9326037	1	55697785	No gene information found	No associated clinical information for this SNP
rs12139482	1	55706058	No gene information found	No associated clinical information for this SNP
rs3862238	1	55759371	No gene information found	No associated clinical information for this SNP
rs749330	1	55774342	No gene information found	No associated clinical information for this SNP
rs12566055	1	55795141	No gene information found	No associated clinical information for this SNP
rs4367814	1	55804148	No gene information found	No associated clinical information for this SNP
rs6588574	1	55822051	No gene information found	No associated clinical information for this SNP
rs10493190	1	55833854	No gene information found	No associated clinical information for this SNP
rs4313435	1	55872608	LINC01755	No associated clinical information for this SNP
rs12070494	1	55883231	LINC01755	No associated clinical information for this SNP
rs12144400	1	55921612	LINC01755;LINC01753	No associated clinical information for this SNP
rs6694316	1	55959448	No gene information found	No associated clinical information for this SNP
rs2404389	1	55965069	No gene information found	No associated clinical information for this SNP
rs10489777	1	55974236	No gene information found	No associated clinical information for this SNP
rs11206745	1	56132851	No gene information found	No associated clinical information for this SNP
rs4927305	1	56132952	No gene information found	No associated clinical information for this SNP
rs1757915	1	56150137	No gene information found	Monocyte count
rs6588610	1	56171157	No gene information found	No associated clinical information for this SNP
rs778129	1	56176410	No gene information found	No associated clinical information for this SNP
rs778400	1	56235495	No gene information found	No associated clinical information for this SNP
rs12118755	1	56284694	No gene information found	No associated clinical information for this SNP
rs2994802	1	56293301	No gene information found	No associated clinical information for this SNP
rs12070360	1	56296719	No gene information found	Rate of cognitive decline in Alzheimer's disease
rs12143461	1	56304546	No gene information found	No associated clinical information for this SNP
rs3005888	1	56312109	No gene information found	No associated clinical information for this SNP
rs2994555	1	56317753	No gene information found	Height
rs3005893	1	56318650	No gene information found	No associated clinical information for this SNP
rs3005905	1	56324621	No gene information found	No associated clinical information for this SNP
rs12138574	1	56325101	No gene information found	Adolescent idiopathic scoliosis
rs12043349	1	56325937	No gene information found	No associated clinical information for this SNP
rs2994565	1	56332636	No gene information found	No associated clinical information for this SNP
rs10493208	1	56354979	No gene information found	No associated clinical information for this SNP
rs7538333	1	56383282	No gene information found	No associated clinical information for this SNP
rs11206801	1	56385014	No gene information found	Cerebrospinal fluid AB1-42 levels
rs1931073	1	56394784	No gene information found	No associated clinical information for this SNP
rs17469007	1	56407122	No gene information found	No associated clinical information for this SNP
rs4363444	1	56433326	No gene information found	No associated clinical information for this SNP
rs12137498	1	56449143	No gene information found	No associated clinical information for this SNP
rs4912314	1	56502805	PLPP3	Waist-to-hip ratio adjusted for body mass index
rs7528118	1	56503083	PLPP3	No associated clinical information for this SNP
rs2404716	1	56513404	PLPP3	No associated clinical information for this SNP
rs869934	1	56533721	PLPP3	No associated clinical information for this SNP
rs7535757	1	56543790	PLPP3	No associated clinical information for this SNP
rs1572057	1	56547449	PLPP3	Height
rs1041602	1	56547526	PLPP3	No associated clinical information for this SNP
rs1930759	1	56547944	PLPP3	No associated clinical information for this SNP
rs12070247	1	56562377	PLPP3	No associated clinical information for this SNP
rs17114127	1	56573374	PLPP3	No associated clinical information for this SNP
rs12136817	1	56589028	PLPP3	No associated clinical information for this SNP
rs17408450	1	56591643	PLPP3	No associated clinical information for this SNP
rs6686996	1	56599622	PLPP3	No associated clinical information for this SNP
rs10489618	1	56727175	FYB2	No associated clinical information for this SNP
rs857123	1	56739993	FYB2	No associated clinical information for this SNP
rs12410615	1	56766318	FYB2	Exploratory eye movement dysfunction in schizophrenia (number of eye fixations)
rs1557145	1	56775561	FYB2	No associated clinical information for this SNP
rs6672416	1	56821183	No gene information found	No associated clinical information for this SNP
rs706469	1	56843554	No gene information found	WNT1-inducible-signaling pathway protein 1 levels
rs652785	1	56875054	C8A	No associated clinical information for this SNP
rs2269115	1	56878224	C8A	No associated clinical information for this SNP
rs2300955	1	56878489	C8A	No associated clinical information for this SNP
rs679350	1	56899139	C8A	No associated clinical information for this SNP
rs626457	1	56941811	C8B	Semenogelin-1 levels
rs658285	1	56950662	C8B	No associated clinical information for this SNP
rs1928447	1	56980772	No gene information found	No associated clinical information for this SNP
rs1754528	1	56983996	No gene information found	No associated clinical information for this SNP
rs595056	1	56997653	DAB1	No associated clinical information for this SNP
rs515493	1	57004288	DAB1	No associated clinical information for this SNP
rs1854508	1	57013183	DAB1	No associated clinical information for this SNP
rs17451521	1	57035604	DAB1	No associated clinical information for this SNP
rs485090	1	57086750	DAB1	No associated clinical information for this SNP
rs17114981	1	57092998	DAB1	No associated clinical information for this SNP
rs490765	1	57099764	DAB1	No associated clinical information for this SNP
rs11206973	1	57103250	DAB1	Height
rs3768171	1	57119758	DAB1	No associated clinical information for this SNP
rs3768168	1	57125777	DAB1	No associated clinical information for this SNP
rs510824	1	57139842	DAB1	No associated clinical information for this SNP
rs484064	1	57141408	DAB1	No associated clinical information for this SNP
rs550511	1	57143316	DAB1	No associated clinical information for this SNP
rs17115220	1	57149841	DAB1	No associated clinical information for this SNP
rs10889026	1	57157027	DAB1	No associated clinical information for this SNP
rs7530049	1	57175802	DAB1	No associated clinical information for this SNP
rs155312	1	57183953	DAB1	No associated clinical information for this SNP
rs264036	1	57206180	DAB1	No associated clinical information for this SNP
rs17485175	1	57238533	DAB1	No associated clinical information for this SNP
rs17115445	1	57242177	DAB1	No associated clinical information for this SNP
rs548897	1	57252357	DAB1	Educational attainment (years of education)
rs584147	1	57271738	DAB1	No associated clinical information for this SNP
rs12566162	1	57306227	DAB1	No associated clinical information for this SNP
rs12401342	1	57328276	DAB1	No associated clinical information for this SNP
rs12087888	1	57337087	DAB1	No associated clinical information for this SNP
rs11207011	1	57337677	DAB1	No associated clinical information for this SNP
rs12119210	1	57348613	DAB1	No associated clinical information for this SNP
rs10889038	1	57361094	DAB1	No associated clinical information for this SNP
rs269045	1	57405654	DAB1	No associated clinical information for this SNP
rs12137169	1	57406105	DAB1	No associated clinical information for this SNP
rs17115765	1	57409194	DAB1	No associated clinical information for this SNP
rs17115796	1	57451105	DAB1	No associated clinical information for this SNP
rs2691437	1	57509439	DAB1	No associated clinical information for this SNP
rs2793626	1	57530725	DAB1	No associated clinical information for this SNP
rs2793641	1	57544501	DAB1	No associated clinical information for this SNP
rs10493230	1	57584467	DAB1	No associated clinical information for this SNP
rs11207069	1	57585568	DAB1	No associated clinical information for this SNP
rs1341322	1	57613471	DAB1	No associated clinical information for this SNP
rs12045520	1	57620108	DAB1	No associated clinical information for this SNP
rs10889061	1	57655428	DAB1	No associated clinical information for this SNP
rs3131754	1	57678024	DAB1	No associated clinical information for this SNP
rs3126020	1	57697697	DAB1	No associated clinical information for this SNP
rs4912277	1	57722824	DAB1	No associated clinical information for this SNP
rs3131729	1	57733095	DAB1	No associated clinical information for this SNP
rs1886139	1	57736625	DAB1	No associated clinical information for this SNP
rs3118045	1	57744211	DAB1	No associated clinical information for this SNP
rs1323816	1	57752112	DAB1	No associated clinical information for this SNP
rs3118050	1	57753495	DAB1	No associated clinical information for this SNP
rs3131735	1	57753586	DAB1	No associated clinical information for this SNP
rs1323822	1	57760920	DAB1	No associated clinical information for this SNP
rs17472345	1	57762740	DAB1	No associated clinical information for this SNP
rs7553730	1	57765540	DAB1	No associated clinical information for this SNP
rs1924267	1	57782100	DAB1	No associated clinical information for this SNP
rs11804137	1	57801481	DAB1	No associated clinical information for this SNP
rs4912282	1	57802318	DAB1	No associated clinical information for this SNP
rs852749	1	57814837	DAB1	No associated clinical information for this SNP
rs852787	1	57836430	DAB1	Coronary artery disease
rs12138384	1	57852360	DAB1	No associated clinical information for this SNP
rs12141749	1	57855929	DAB1	No associated clinical information for this SNP
rs1202822	1	57880535	DAB1-AS1;DAB1	No associated clinical information for this SNP
rs1202829	1	57890297	DAB1	No associated clinical information for this SNP
rs1884487	1	57910294	DAB1	No associated clinical information for this SNP
rs7532719	1	57967083	DAB1	No associated clinical information for this SNP
rs12410476	1	57992511	DAB1	No associated clinical information for this SNP
rs1952046	1	58016669	DAB1	No associated clinical information for this SNP
rs12135022	1	58033874	DAB1	No associated clinical information for this SNP
rs6663542	1	58039706	DAB1	No associated clinical information for this SNP
rs6657936	1	58063148	DAB1	No associated clinical information for this SNP
rs11207166	1	58069468	DAB1	No associated clinical information for this SNP
rs2002058	1	58095657	DAB1	No associated clinical information for this SNP
rs821529	1	58100991	DAB1	No associated clinical information for this SNP
rs12033592	1	58105286	DAB1	No associated clinical information for this SNP
rs3904916	1	58159829	DAB1	No associated clinical information for this SNP
rs12146090	1	58222008	DAB1	No associated clinical information for this SNP
rs484653	1	58223156	DAB1	No associated clinical information for this SNP
rs10493241	1	58318299	DAB1	Core binding factor acute myeloid leukemia
rs12047735	1	58318831	DAB1	No associated clinical information for this SNP
rs6587807	1	58332613	DAB1	No associated clinical information for this SNP
rs1236920	1	58335724	DAB1	No associated clinical information for this SNP
rs1924569	1	58335834	DAB1	No associated clinical information for this SNP
rs1237207	1	58335891	DAB1	No associated clinical information for this SNP
rs6686674	1	58346119	DAB1	No associated clinical information for this SNP
rs11588152	1	58380011	DAB1	No associated clinical information for this SNP
rs17496683	1	58382999	DAB1	No associated clinical information for this SNP
rs12071896	1	58386666	DAB1	No associated clinical information for this SNP
rs338934	1	58391994	DAB1	No associated clinical information for this SNP
rs338919	1	58399727	DAB1	No associated clinical information for this SNP
rs849481	1	58401268	DAB1	No associated clinical information for this SNP
rs10465839	1	58406850	DAB1	No associated clinical information for this SNP
rs338911	1	58408234	DAB1	No associated clinical information for this SNP
rs338905	1	58409972	DAB1	No associated clinical information for this SNP
rs12040053	1	58460723	OMA1;DAB1	No associated clinical information for this SNP
rs338230	1	58474924	OMA1;DAB1	No associated clinical information for this SNP
rs697594	1	58488226	OMA1;DAB1	No associated clinical information for this SNP
rs549237	1	58556743	No gene information found	No associated clinical information for this SNP
rs4912350	1	58589259	No gene information found	No associated clinical information for this SNP
rs12145205	1	58590511	No gene information found	No associated clinical information for this SNP
rs6664314	1	58590654	No gene information found	No associated clinical information for this SNP
rs10489538	1	58598074	No gene information found	No associated clinical information for this SNP
rs232777	1	58660011	MYSM1	No associated clinical information for this SNP
rs586509	1	58673027	MYSM1	No associated clinical information for this SNP
rs2811893	1	58696476	MYSM1	Diabetic retinopathy
rs12405774	1	58725873	No gene information found	No associated clinical information for this SNP
rs1969772	1	58739430	No gene information found	No associated clinical information for this SNP
rs10889118	1	58755975	No gene information found	No associated clinical information for this SNP
rs11207303	1	58761952	No gene information found	No associated clinical information for this SNP
rs11207306	1	58793207	LINC01135	No associated clinical information for this SNP
rs942127	1	58818547	LINC01135	No associated clinical information for this SNP
rs11207319	1	58881477	LINC01135	No associated clinical information for this SNP
rs2764908	1	58882856	LINC01135	No associated clinical information for this SNP
rs2492321	1	58885774	LINC02777;LINC01135	No associated clinical information for this SNP
rs2764928	1	58957117	LINC01358	No associated clinical information for this SNP
rs2764933	1	58970106	LINC01358	No associated clinical information for this SNP
rs2764900	1	59000520	LINC01358	No associated clinical information for this SNP
rs2716121	1	59008882	LINC01358	No associated clinical information for this SNP
rs3010336	1	59016954	LINC01358	No associated clinical information for this SNP
rs932770	1	59017934	LINC01358	No associated clinical information for this SNP
rs12748496	1	59020879	LINC01358	No associated clinical information for this SNP
rs9436591	1	59024131	LINC01358	No associated clinical information for this SNP
rs4424536	1	59078763	LINC01358	No associated clinical information for this SNP
rs2989868	1	59087990	LINC01358	Self-reported math ability (MTAG)
rs7556224	1	59093840	LINC01358	No associated clinical information for this SNP
rs10493260	1	59112910	LINC01358	Core binding factor acute myeloid leukemia
rs4912387	1	59137769	FGGY-DT;LINC01358	No associated clinical information for this SNP
rs6676724	1	59153144	FGGY-DT;LINC01358	No associated clinical information for this SNP
rs10493258	1	59200098	FGGY-DT;LINC01358	No associated clinical information for this SNP
rs12402265	1	59224930	FGGY-DT;LINC01358	Cervical artery dissection
rs7547161	1	59239150	FGGY-DT;LINC01358	No associated clinical information for this SNP
rs751101	1	59263670	FGGY-DT	No associated clinical information for this SNP
rs835365	1	59291377	FGGY-DT	No associated clinical information for this SNP
rs9787234	1	59331136	FGGY	No associated clinical information for this SNP
rs835361	1	59348556	FGGY	No associated clinical information for this SNP
rs949827	1	59376113	FGGY	Pulse pressure
rs2173033	1	59385235	FGGY	No associated clinical information for this SNP
rs835427	1	59394621	FGGY	No associated clinical information for this SNP
rs10493264	1	59425618	FGGY	No associated clinical information for this SNP
rs946574	1	59426983	FGGY	No associated clinical information for this SNP
rs12145590	1	59447046	FGGY	No associated clinical information for this SNP
rs626733	1	59480678	FGGY	No associated clinical information for this SNP
rs650755	1	59514007	FGGY	No associated clinical information for this SNP
rs17119620	1	59561487	FGGY	No associated clinical information for this SNP
rs6677274	1	59600060	FGGY	No associated clinical information for this SNP
rs12067863	1	59635610	FGGY	No associated clinical information for this SNP
rs12062386	1	59657044	FGGY	No associated clinical information for this SNP
rs9436185	1	59733919	FGGY	No associated clinical information for this SNP
rs9436605	1	59777510	FGGY	No associated clinical information for this SNP
rs11207520	1	59809423	FGGY	No associated clinical information for this SNP
rs11572279	1	59907828	CYP2J2	No associated clinical information for this SNP
rs11207539	1	59913718	CYP2J2	No associated clinical information for this SNP
rs11572223	1	59920071	CYP2J2	No associated clinical information for this SNP
rs10493270	1	59923002	CYP2J2	No associated clinical information for this SNP
rs11572204	1	59923933	CYP2J2	No associated clinical information for this SNP
rs12731852	1	59943303	No gene information found	Phenol sulfate levels in elite athletes
rs11800976	1	59980802	No gene information found	No associated clinical information for this SNP
rs2807619	1	59982537	No gene information found	No associated clinical information for this SNP
rs6587875	1	59990300	C1orf87	No associated clinical information for this SNP
rs919055	1	59997364	C1orf87	No associated clinical information for this SNP
rs649859	1	59998496	C1orf87	No associated clinical information for this SNP
rs17119974	1	60008703	C1orf87	No associated clinical information for this SNP
rs675493	1	60014131	C1orf87	No associated clinical information for this SNP
rs601724	1	60035981	C1orf87	No associated clinical information for this SNP
rs10493277	1	60041072	C1orf87	No associated clinical information for this SNP
rs1462935	1	60141506	LINC02778	Smoking initiation
rs922356	1	60165328	No gene information found	No associated clinical information for this SNP
rs17120400	1	60225916	No gene information found	Periodontitis (PAL4Q3)
rs298169	1	60321884	No gene information found	No associated clinical information for this SNP
rs298167	1	60339478	No gene information found	No associated clinical information for this SNP
rs427970	1	60349370	No gene information found	No associated clinical information for this SNP
rs11585396	1	60351688	No gene information found	No associated clinical information for this SNP
rs298160	1	60413503	No gene information found	No associated clinical information for this SNP
rs7551363	1	60423327	No gene information found	No associated clinical information for this SNP
rs2062629	1	60423547	No gene information found	No associated clinical information for this SNP
rs10889175	1	60435851	No gene information found	No associated clinical information for this SNP
rs12760685	1	60443470	No gene information found	No associated clinical information for this SNP
rs12408850	1	60496595	No gene information found	No associated clinical information for this SNP
rs7522454	1	60517948	LINC01748	Hip bone mineral content accrual during adolescent growth spurt
rs10889187	1	60545086	LINC01748	No associated clinical information for this SNP
rs1461356	1	60571343	LINC01748	Isoursodeoxycholate levels in elite athletes
rs17301783	1	60609730	LINC01748	No associated clinical information for this SNP
rs814197	1	60626784	LINC01748	Bipolar disorder
rs10493034	1	60675344	No gene information found	No associated clinical information for this SNP
rs1381166	1	60678970	No gene information found	No associated clinical information for this SNP
rs2219615	1	60683414	No gene information found	No associated clinical information for this SNP
rs1461353	1	60691490	No gene information found	No associated clinical information for this SNP
rs1399161	1	60704575	No gene information found	No associated clinical information for this SNP
rs4915702	1	60728280	No gene information found	No associated clinical information for this SNP
rs10889198	1	60764253	No gene information found	No associated clinical information for this SNP
rs191088	1	60787375	No gene information found	No associated clinical information for this SNP
rs17374803	1	60795213	No gene information found	No associated clinical information for this SNP
rs11586666	1	60795523	No gene information found	No associated clinical information for this SNP
rs1877734	1	60816417	No gene information found	No associated clinical information for this SNP
rs662216	1	60831253	No gene information found	No associated clinical information for this SNP
rs17303103	1	60838893	No gene information found	No associated clinical information for this SNP
rs310158	1	60854073	No gene information found	No associated clinical information for this SNP
rs310173	1	60871814	NFIA	No associated clinical information for this SNP
rs12122228	1	60890848	NFIA	No associated clinical information for this SNP
rs2121598	1	60910556	NFIA	No associated clinical information for this SNP
rs10889201	1	60916737	NFIA-AS2;NFIA	No associated clinical information for this SNP
rs632853	1	60938195	NFIA-AS2;NFIA	No associated clinical information for this SNP
rs602476	1	60947109	NFIA-AS2;NFIA	No associated clinical information for this SNP
rs12132639	1	60974495	NFIA-AS2;NFIA	No associated clinical information for this SNP
rs12047847	1	60978896	NFIA-AS2;NFIA	No associated clinical information for this SNP
rs12140465	1	60983822	NFIA-AS2;NFIA	No associated clinical information for this SNP
rs924273	1	61016272	NFIA-AS2;NFIA	Height
rs1779851	1	61044947	NFIA-AS2;NFIA	No associated clinical information for this SNP
rs10493302	1	61105720	NFIA	No associated clinical information for this SNP
rs17121624	1	61118523	NFIA	No associated clinical information for this SNP
rs2008968	1	61141362	NFIA	Height
rs441374	1	61204672	NFIA	No associated clinical information for this SNP
rs333151	1	61213111	NFIA	No associated clinical information for this SNP
rs6678065	1	61228538	NFIA	No associated clinical information for this SNP
rs333161	1	61230894	NFIA	No associated clinical information for this SNP
rs2184016	1	61254013	NFIA	No associated clinical information for this SNP
rs11590808	1	61333387	NFIA	No associated clinical information for this SNP
rs10489911	1	61372837	NFIA	No associated clinical information for this SNP
rs10489909	1	61397811	NFIA	No associated clinical information for this SNP
rs7516719	1	61397990	NFIA	No associated clinical information for this SNP
rs2024788	1	61421596	NFIA	No associated clinical information for this SNP
rs2246514	1	61522298	No gene information found	No associated clinical information for this SNP
rs12132826	1	61562997	No gene information found	No associated clinical information for this SNP
rs4915763	1	61605508	No gene information found	No associated clinical information for this SNP
rs12065336	1	61611120	No gene information found	No associated clinical information for this SNP
rs10493310	1	61666135	No gene information found	No associated clinical information for this SNP
rs1390450	1	61674716	No gene information found	No associated clinical information for this SNP
rs12408292	1	61747150	PATJ	No associated clinical information for this SNP
rs3790580	1	61747237	PATJ	No associated clinical information for this SNP
rs7549691	1	61758693	PATJ	No associated clinical information for this SNP
rs3762321	1	61787811	PATJ	Height
rs9645411	1	61813922	PATJ	No associated clinical information for this SNP
rs2365498	1	61846982	PATJ	Inguinal hernia
rs2275859	1	61864681	PATJ	No associated clinical information for this SNP
rs11801995	1	61976116	PATJ	No associated clinical information for this SNP
rs10493316	1	61992791	PATJ	Cold induced vasodilation
rs2365738	1	62003726	PATJ	No associated clinical information for this SNP
rs11590158	1	62022399	PATJ	No associated clinical information for this SNP
rs1332630	1	62026543	PATJ	Body mass index
rs11585888	1	62034001	PATJ	No associated clinical information for this SNP
rs7535670	1	62103008	PATJ	No associated clinical information for this SNP
rs6688017	1	62110239	PATJ	Height
rs11207909	1	62142114	PATJ	No associated clinical information for this SNP
rs17123133	1	62142178	PATJ	No associated clinical information for this SNP
rs12095754	1	62169162	PATJ	No associated clinical information for this SNP
rs2457832	1	62169444	PATJ	No associated clinical information for this SNP
rs12137401	1	62211378	L1TD1	No associated clinical information for this SNP
rs4915605	1	62252087	KANK4	No associated clinical information for this SNP
rs3844053	1	62264745	KANK4	No associated clinical information for this SNP
rs11579934	1	62267273	KANK4	No associated clinical information for this SNP
rs6691591	1	62283828	KANK4	No associated clinical information for this SNP
rs6680736	1	62284200	KANK4	No associated clinical information for this SNP
rs2765261	1	62291998	KANK4	No associated clinical information for this SNP
rs17123422	1	62304215	KANK4	No associated clinical information for this SNP
rs11207957	1	62308236	KANK4	No associated clinical information for this SNP
rs12042483	1	62368067	No gene information found	No associated clinical information for this SNP
rs2104448	1	62389137	No gene information found	No associated clinical information for this SNP
rs1413821	1	62400719	No gene information found	No associated clinical information for this SNP
rs10889333	1	62491359	DOCK7	Triglyceride to HDL cholesterol ratio
rs10889337	1	62514936	DOCK7	Serum metabolite levels
rs13375691	1	62530702	DOCK7	No associated clinical information for this SNP
rs10889353	1	62652525	DOCK7	Triacylglyceride levels
rs7514389	1	62722971	No gene information found	No associated clinical information for this SNP
rs12130333	1	62726106	No gene information found	Total bilirubin levels
rs6587988	1	62787095	ATG4C	No associated clinical information for this SNP
rs10493328	1	62801049	ATG4C	No associated clinical information for this SNP
rs3737891	1	62819362	ATG4C	No associated clinical information for this SNP
rs7513520	1	62823261	ATG4C	No associated clinical information for this SNP
rs17316576	1	62837624	ATG4C	No associated clinical information for this SNP
rs10493327	1	62838174	ATG4C	No associated clinical information for this SNP
rs12128286	1	62866524	No gene information found	No associated clinical information for this SNP
rs2803243	1	62903662	No gene information found	No associated clinical information for this SNP
rs7549673	1	62925551	No gene information found	No associated clinical information for this SNP
rs12049000	1	62926795	No gene information found	No associated clinical information for this SNP
rs11208061	1	62926994	No gene information found	No associated clinical information for this SNP
rs7532163	1	62936274	No gene information found	No associated clinical information for this SNP
rs11208065	1	62937252	No gene information found	No associated clinical information for this SNP
rs10889392	1	62939018	No gene information found	No associated clinical information for this SNP
rs2780882	1	62939756	No gene information found	No associated clinical information for this SNP
rs2065585	1	62948730	No gene information found	No associated clinical information for this SNP
rs1191758	1	62957239	No gene information found	No associated clinical information for this SNP
rs2150031	1	62976090	LINC01739	No associated clinical information for this SNP
rs6686582	1	62987458	LINC01739	No associated clinical information for this SNP
rs17124275	1	63008565	LINC01739	No associated clinical information for this SNP
rs4600075	1	63031120	No gene information found	No associated clinical information for this SNP
rs6664042	1	63036180	No gene information found	No associated clinical information for this SNP
rs10493332	1	63057067	No gene information found	No associated clinical information for this SNP
rs6679559	1	63075582	No gene information found	No associated clinical information for this SNP
rs17390078	1	63076130	No gene information found	No associated clinical information for this SNP
rs17124579	1	63082002	No gene information found	No associated clinical information for this SNP
rs953653	1	63083843	No gene information found	No associated clinical information for this SNP
rs1498941	1	63101985	No gene information found	No associated clinical information for this SNP
rs17124724	1	63159614	LINC00466	No associated clinical information for this SNP
rs12736336	1	63181529	LINC00466	No associated clinical information for this SNP
rs17319241	1	63210322	LINC00466	No associated clinical information for this SNP
rs832521	1	63255655	LINC00466	No associated clinical information for this SNP
rs13374496	1	63258426	LINC00466	No associated clinical information for this SNP
rs12124367	1	63304713	LINC00466	No associated clinical information for this SNP
rs10489494	1	63333090	No gene information found	No associated clinical information for this SNP
rs7522426	1	63355658	No gene information found	No associated clinical information for this SNP
rs10493345	1	63435230	ALG6	No associated clinical information for this SNP
rs12023577	1	63436760	ALG6	DNA methylation Hannum age acceleration
rs217452	1	63537185	EFCAB7;ITGB3BP	No associated clinical information for this SNP
rs2273367	1	63555425	EFCAB7;ITGB3BP	No associated clinical information for this SNP
rs217463	1	63576116	ITGB3BP	No associated clinical information for this SNP
rs7535245	1	63630423	PGM1	No associated clinical information for this SNP
rs2269247	1	63641613	PGM1	Phosphoglucomutase-1 levels
rs855332	1	63663722	No gene information found	No associated clinical information for this SNP
rs11208273	1	63699074	No gene information found	No associated clinical information for this SNP
rs1354719	1	63702361	No gene information found	Total PHF-tau (SNP x SNP interaction)
rs2819172	1	63726904	No gene information found	No associated clinical information for this SNP
rs648965	1	63783751	ROR1	No associated clinical information for this SNP
rs636119	1	63859880	ROR1	Core binding factor acute myeloid leukemia
rs11208307	1	63870396	ROR1	No associated clinical information for this SNP
rs7513180	1	63874130	ROR1	No associated clinical information for this SNP
rs11802375	1	63876061	ROR1	No associated clinical information for this SNP
rs6671129	1	63928453	ROR1	No associated clinical information for this SNP
rs1451596	1	63962613	ROR1	No associated clinical information for this SNP
rs1323851	1	63984765	ROR1	No associated clinical information for this SNP
rs834485	1	64018813	ROR1	No associated clinical information for this SNP
rs1260836	1	64023184	ROR1	No associated clinical information for this SNP
rs6676244	1	64065892	ROR1	No associated clinical information for this SNP
rs834343	1	64079452	ROR1	No associated clinical information for this SNP
rs1619058	1	64085739	ROR1	No associated clinical information for this SNP
rs12036326	1	64107478	ROR1-AS1;ROR1	No associated clinical information for this SNP
rs2806535	1	64112087	ROR1-AS1;ROR1	No associated clinical information for this SNP
rs6677577	1	64113667	ROR1-AS1;ROR1	No associated clinical information for this SNP
rs12025819	1	64146712	ROR1-AS1;ROR1	No associated clinical information for this SNP
rs7515058	1	64168480	ROR1-AS1;ROR1	No associated clinical information for this SNP
rs7527017	1	64177594	ROR1	Height
rs1908637	1	64247537	UBE2U	No associated clinical information for this SNP
rs11588217	1	64261556	UBE2U	No associated clinical information for this SNP
rs705551	1	64271332	No gene information found	No associated clinical information for this SNP
